name,mask,n_squares,n_configurations,n_instances,n_stabilizers,cells,tmasks,mask_indexes,unique_masks,unique_mask_indexes,tr,at,sf,cells_t0,cells_t1,cells_t2,cells_t3,cells_t4,cells_t5,cells_t6,cells_t7,fingerprint,type
ELLE,0000000000000107,4,81,8,1,A1:B1:C1:A2,0000000000000107:00000000008080C0:E080000000000000:0301010000000000:00000000000080E0:C080800000000000:0701000000000000:0000000000010103,0:1:2:3:4:5:6:7,0000000000000107:00000000008080C0:E080000000000000:0301010000000000:00000000000080E0:C080800000000000:0701000000000000:0000000000010103,0:1:2:3:4:5:6:7,ro000:ro090:ro180:ro270:fvert:fh1a8:fhori:fa1h8,ro000:ro270:ro180:ro090:fvert:fh1a8:fhori:fa1h8,,a1:b1:c1:a2,h1:h2:h3:g1,h8:g8:f8:h7,a8:a7:a6:b8,h1:g1:f1:h2,h8:h7:h6:g8,a8:b8:c8:a7,a1:a2:a3:b1,I0:T1:T2:T3:T4:T5:T6:T7,0
SNAKE,0000000C30000000,4,81,4,2,E4:F4:C5:D5,0000000C30000000:0000101008080000:0000000C30000000:0000101008080000:000000300C000000:0000080810100000:000000300C000000:0000080810100000,0:1:0:1:4:5:4:5,0000000C30000000:0000101008080000:000000300C000000:0000080810100000,0:1:4:5,ro000:ro090:fvert:fh1a8,ro000:ro270:fvert:fh1a8,ro180,e4:f4:c5:d5,e5:e6:d3:d4,d5:c5:f4:e4,d4:d3:e6:e5,d4:c4:f5:e5,e4:e3:d6:d5,e5:f5:c4:d4,d5:d6:e3:e4,I0:T1:S0:S1:T4:T5:S4:S5,1
EDGE,00000000000000FF,8,6561,4,2,A1:B1:C1:D1:E1:F1:G1:H1,00000000000000FF:8080808080808080:FF00000000000000:0101010101010101:00000000000000FF:8080808080808080:FF00000000000000:0101010101010101,0:1:2:3:0:1:2:3,00000000000000FF:8080808080808080:FF00000000000000:0101010101010101,0:1:2:3,ro000:ro090:ro180:ro270,ro000:ro270:ro180:ro090,fvert,a1:b1:c1:d1:e1:f1:g1:h1,h1:h2:h3:h4:h5:h6:h7:h8,h8:g8:f8:e8:d8:c8:b8:a8,a8:a7:a6:a5:a4:a3:a2:a1,h1:g1:f1:e1:d1:c1:b1:a1,h8:h7:h6:h5:h4:h3:h2:h1,a8:b8:c8:d8:e8:f8:g8:h8,a1:a2:a3:a4:a5:a6:a7:a8,I0:T1:T2:T3:S0:S1:S2:S3,2
R2,000000000000FF00,8,6561,4,2,A2:B2:C2:D2:E2:F2:G2:H2,000000000000FF00:4040404040404040:00FF000000000000:0202020202020202:000000000000FF00:4040404040404040:00FF000000000000:0202020202020202,0:1:2:3:0:1:2:3,000000000000FF00:4040404040404040:00FF000000000000:0202020202020202,0:1:2:3,ro000:ro090:ro180:ro270,ro000:ro270:ro180:ro090,fvert,a2:b2:c2:d2:e2:f2:g2:h2,g1:g2:g3:g4:g5:g6:g7:g8,h7:g7:f7:e7:d7:c7:b7:a7,b8:b7:b6:b5:b4:b3:b2:b1,h2:g2:f2:e2:d2:c2:b2:a2,g8:g7:g6:g5:g4:g3:g2:g1,a7:b7:c7:d7:e7:f7:g7:h7,b1:b2:b3:b4:b5:b6:b7:b8,I0:T1:T2:T3:S0:S1:S2:S3,2
R3,0000000000FF0000,8,6561,4,2,A3:B3:C3:D3:E3:F3:G3:H3,0000000000FF0000:2020202020202020:0000FF0000000000:0404040404040404:0000000000FF0000:2020202020202020:0000FF0000000000:0404040404040404,0:1:2:3:0:1:2:3,0000000000FF0000:2020202020202020:0000FF0000000000:0404040404040404,0:1:2:3,ro000:ro090:ro180:ro270,ro000:ro270:ro180:ro090,fvert,a3:b3:c3:d3:e3:f3:g3:h3,f1:f2:f3:f4:f5:f6:f7:f8,h6:g6:f6:e6:d6:c6:b6:a6,c8:c7:c6:c5:c4:c3:c2:c1,h3:g3:f3:e3:d3:c3:b3:a3,f8:f7:f6:f5:f4:f3:f2:f1,a6:b6:c6:d6:e6:f6:g6:h6,c1:c2:c3:c4:c5:c6:c7:c8,I0:T1:T2:T3:S0:S1:S2:S3,2
R4,00000000FF000000,8,6561,4,2,A4:B4:C4:D4:E4:F4:G4:H4,00000000FF000000:1010101010101010:000000FF00000000:0808080808080808:00000000FF000000:1010101010101010:000000FF00000000:0808080808080808,0:1:2:3:0:1:2:3,00000000FF000000:1010101010101010:000000FF00000000:0808080808080808,0:1:2:3,ro000:ro090:ro180:ro270,ro000:ro270:ro180:ro090,fvert,a4:b4:c4:d4:e4:f4:g4:h4,e1:e2:e3:e4:e5:e6:e7:e8,h5:g5:f5:e5:d5:c5:b5:a5,d8:d7:d6:d5:d4:d3:d2:d1,h4:g4:f4:e4:d4:c4:b4:a4,e8:e7:e6:e5:e4:e3:e2:e1,a5:b5:c5:d5:e5:f5:g5:h5,d1:d2:d3:d4:d5:d6:d7:d8,I0:T1:T2:T3:S0:S1:S2:S3,2
XEDGE,00000000000042FF,10,59049,4,2,A1:B1:C1:D1:E1:F1:G1:H1:B2:G2,00000000000042FF:80C080808080C080:FF42000000000000:0103010101010301:00000000000042FF:80C080808080C080:FF42000000000000:0103010101010301,0:1:2:3:0:1:2:3,00000000000042FF:80C080808080C080:FF42000000000000:0103010101010301,0:1:2:3,ro000:ro090:ro180:ro270,ro000:ro270:ro180:ro090,fvert,a1:b1:c1:d1:e1:f1:g1:h1:b2:g2,h1:h2:h3:h4:h5:h6:h7:h8:g2:g7,h8:g8:f8:e8:d8:c8:b8:a8:g7:b7,a8:a7:a6:a5:a4:a3:a2:a1:b7:b2,h1:g1:f1:e1:d1:c1:b1:a1:g2:b2,h8:h7:h6:h5:h4:h3:h2:h1:g7:g2,a8:b8:c8:d8:e8:f8:g8:h8:b7:g7,a1:a2:a3:a4:a5:a6:a7:a8:b2:b7,I0:T1:T2:T3:S0:S1:S2:S3,2
DIAG3,0000000000010204,3,27,4,2,C1:B2:A3,0000000000010204:0000000000804020:2040800000000000:0402010000000000:0000000000804020:2040800000000000:0402010000000000:0000000000010204,0:1:2:3:1:2:3:0,0000000000010204:0000000000804020:2040800000000000:0402010000000000,0:1:2:3,ro000:ro090:ro180:ro270,ro000:ro270:ro180:ro090,fa1h8,c1:b2:a3,h3:g2:f1,f8:g7:h6,a6:b7:c8,f1:g2:h3,h6:g7:f8,c8:b7:a6,a3:b2:c1,I0:T1:T2:T3:S1:S2:S3:S0,3
DIAG4,0000000001020408,4,81,4,2,D1:C2:B3:A4,0000000001020408:0000000080402010:1020408000000000:0804020100000000:0000000080402010:1020408000000000:0804020100000000:0000000001020408,0:1:2:3:1:2:3:0,0000000001020408:0000000080402010:1020408000000000:0804020100000000,0:1:2:3,ro000:ro090:ro180:ro270,ro000:ro270:ro180:ro090,fa1h8,d1:c2:b3:a4,h4:g3:f2:e1,e8:f7:g6:h5,a5:b6:c7:d8,e1:f2:g3:h4,h5:g6:f7:e8,d8:c7:b6:a5,a4:b3:c2:d1,I0:T1:T2:T3:S1:S2:S3:S0,3
DIAG5,0000000102040810,5,243,4,2,E1:D2:C3:B4:A5,0000000102040810:0000008040201008:0810204080000000:1008040201000000:0000008040201008:0810204080000000:1008040201000000:0000000102040810,0:1:2:3:1:2:3:0,0000000102040810:0000008040201008:0810204080000000:1008040201000000,0:1:2:3,ro000:ro090:ro180:ro270,ro000:ro270:ro180:ro090,fa1h8,e1:d2:c3:b4:a5,h5:g4:f3:e2:d1,d8:e7:f6:g5:h4,a4:b5:c6:d7:e8,d1:e2:f3:g4:h5,h4:g5:f6:e7:d8,e8:d7:c6:b5:a4,a5:b4:c3:d2:e1,I0:T1:T2:T3:S1:S2:S3:S0,3
